SEX,AGE,ISO,ANNEE,TAUX_CHOMAGE
F,15-19,AT,2015,11.7
F,15-19,BE,2015,28.2
F,15-19,CH,2015,9.7
F,15-19,CY,2015,45.4
F,15-19,CZ,2015,32.7
F,15-19,DE,2015,8.0
F,15-19,DK,2015,12.6
F,15-19,GR,2015,68.4
F,15-19,ES,2015,70.7
F,15-19,FI,2015,28.0
F,15-19,FR,2015,35.0
F,15-19,HR,2015,64.6
F,15-19,HU,2015,40.6
F,15-19,IE,2015,21.5
F,15-19,IS,2015,9.8
F,15-19,IT,2015,66.1
F,15-19,MK,2015,44.2
F,15-19,MT,2015,21.0
F,15-19,NL,2015,14.8
F,15-19,NO,2015,13.2
F,15-19,PL,2015,33.4
F,15-19,PT,2015,51.5
F,15-19,RO,2015,34.3
F,15-19,RS,2015,59.0
F,15-19,SE,2015,31.4
F,15-19,SI,2015,13.8
F,15-19,SK,2015,58.3
F,15-19,TR,2015,18.4
F,15-24,AT,2015,10.0
F,15-24,BE,2015,20.0
F,15-24,BG,2015,22.3
F,15-24,CH,2015,8.4
F,15-24,CY,2015,31.1
F,15-24,CZ,2015,14.4
F,15-24,DE,2015,6.5
F,15-24,DK,2015,11.1
F,15-24,EE,2015,13.0
F,15-24,GR,2015,55.0
F,15-24,ES,2015,48.0
F,15-24,FI,2015,19.7
F,15-24,FR,2015,23.4
F,15-24,HR,2015,43.5
F,15-24,HU,2015,16.0
F,15-24,IE,2015,16.3
F,15-24,IS,2015,6.7
F,15-24,IT,2015,42.6
F,15-24,LT,2015,16.6
F,15-24,LU,2015,15.7
F,15-24,LV,2015,14.2
F,15-24,ME,2015,34.5
F,15-24,MK,2015,43.3
F,15-24,MT,2015,9.8
F,15-24,NL,2015,11.2
F,15-24,NO,2015,8.6
F,15-24,PL,2015,20.9
F,15-24,PT,2015,34.1
F,15-24,RO,2015,23.4
F,15-24,RS,2015,48.4
F,15-24,SE,2015,19.6
F,15-24,SI,2015,14.6
F,15-24,SK,2015,27.5
F,15-24,TR,2015,22.2
F,15-29,AT,2015,7.8
F,15-29,BE,2015,13.9
F,15-29,BG,2015,13.8
F,15-29,CH,2015,7.2
F,15-29,CY,2015,24.4
F,15-29,CZ,2015,10.1
F,15-29,DE,2015,5.7
F,15-29,DK,2015,10.7
F,15-29,EE,2015,9.7
F,15-29,GR,2015,45.7
F,15-29,ES,2015,36.1
F,15-29,FI,2015,16.2
F,15-29,FR,2015,18.0
F,15-29,HR,2015,31.3
F,15-29,HU,2015,12.0
F,15-29,IE,2015,13.6
F,15-29,IS,2015,6.1
F,15-29,IT,2015,31.4
F,15-29,LT,2015,13.1
F,15-29,LU,2015,12.3
F,15-29,LV,2015,11.6
F,15-29,ME,2015,27.2
F,15-29,MK,2015,39.7
F,15-29,MT,2015,8.0
F,15-29,NL,2015,9.3
F,15-29,NO,2015,7.3
F,15-29,PL,2015,13.8
F,15-29,PT,2015,23.4
F,15-29,RO,2015,13.9
F,15-29,RS,2015,37.4
F,15-29,SE,2015,14.5
F,15-29,SI,2015,17.9
F,15-29,SK,2015,18.6
F,15-29,TR,2015,20.1
F,15-39,AT,2015,6.9
F,15-39,BE,2015,10.4
F,15-39,BG,2015,9.9
F,15-39,CH,2015,6.2
F,15-39,CY,2015,17.8
F,15-39,CZ,2015,8.1
F,15-39,DE,2015,5.0
F,15-39,DK,2015,8.7
F,15-39,EE,2015,7.3
F,15-39,GR,2015,35.8
F,15-39,ES,2015,27.1
F,15-39,FI,2015,12.1
F,15-39,FR,2015,13.5
F,15-39,HR,2015,22.4
F,15-39,HU,2015,9.2
F,15-39,IE,2015,10.2
F,15-39,IS,2015,5.8
F,15-39,IT,2015,20.3
F,15-39,LT,2015,9.5
F,15-39,LU,2015,8.9
F,15-39,LV,2015,10.2
F,15-39,ME,2015,22.5
F,15-39,MK,2015,30.5
F,15-39,MT,2015,5.9
F,15-39,NL,2015,7.9
F,15-39,NO,2015,6.1
F,15-39,PL,2015,9.7
F,15-39,PT,2015,15.6
F,15-39,RO,2015,8.5
F,15-39,RS,2015,26.4
F,15-39,SE,2015,10.7
F,15-39,SI,2015,13.3
F,15-39,SK,2015,15.4
F,15-39,TR,2015,16.2
F,15-59,AT,2015,5.5
F,15-59,BE,2015,8.0
F,15-59,BG,2015,8.6
F,15-59,CH,2015,5.1
F,15-59,CY,2015,15.1
F,15-59,CZ,2015,6.3
F,15-59,DE,2015,4.3
F,15-59,DK,2015,6.8
F,15-59,EE,2015,6.8
F,15-59,GR,2015,29.7
F,15-59,ES,2015,24.0
F,15-59,FI,2015,9.2
F,15-59,FR,2015,10.2
F,15-59,HR,2015,17.6
F,15-59,HU,2015,7.1
F,15-59,IE,2015,9.1
F,15-59,IS,2015,4.3
F,15-59,IT,2015,13.3
F,15-59,LT,2015,8.6
F,15-59,LU,2015,7.4
F,15-59,LV,2015,9.1
F,15-59,ME,2015,17.9
F,15-59,MK,2015,25.8
F,15-59,MT,2015,5.5
F,15-59,NL,2015,7.2
F,15-59,NO,2015,4.3
F,15-59,PL,2015,8.0
F,15-59,PT,2015,13.3
F,15-59,RO,2015,6.3
F,15-59,RS,2015,19.8
F,15-59,SE,2015,7.6
F,15-59,SI,2015,10.3
F,15-59,SK,2015,13.1
F,15-59,TR,2015,13.1
F,15-64,AT,2015,5.4
F,15-64,BE,2015,7.8
F,15-64,BG,2015,8.5
F,15-64,CH,2015,5.0
F,15-64,CY,2015,14.9
F,15-64,CZ,2015,6.2
F,15-64,DE,2015,4.3
F,15-64,DK,2015,6.6
F,15-64,EE,2015,6.4
F,15-64,GR,2015,29.1
F,15-64,ES,2015,23.7
F,15-64,FI,2015,9.0
F,15-64,FR,2015,10.0
F,15-64,HR,2015,17.2
F,15-64,HU,2015,7.1
F,15-64,IE,2015,9.0
F,15-64,IS,2015,4.2
F,15-64,IT,2015,12.8
F,15-64,LT,2015,8.4
F,15-64,LU,2015,7.4
F,15-64,LV,2015,8.8
F,15-64,ME,2015,17.6
F,15-64,MK,2015,25.3
F,15-64,MT,2015,5.4
F,15-64,NL,2015,7.3
F,15-64,NO,2015,4.1
F,15-64,PL,2015,7.8
F,15-64,PT,2015,13.0
F,15-64,RO,2015,6.1
F,15-64,RS,2015,19.2
F,15-64,SE,2015,7.4
F,15-64,SI,2015,10.2
F,15-64,SK,2015,13.0
F,15-64,TR,2015,12.9
F,15-74,AT,2015,5.3
F,15-74,BE,2015,7.8
F,15-74,BG,2015,8.4
F,15-74,CH,2015,4.9
F,15-74,CY,2015,14.8
F,15-74,CZ,2015,6.1
F,15-74,DE,2015,4.2
F,15-74,DK,2015,6.5
F,15-74,EE,2015,6.3
F,15-74,GR,2015,28.9
F,15-74,ES,2015,23.6
F,15-74,FI,2015,8.8
F,15-74,FR,2015,9.9
F,15-74,HR,2015,17.0
F,15-74,HU,2015,7.0
F,15-74,IE,2015,8.9
F,15-74,IS,2015,4.1
F,15-74,IT,2015,12.7
F,15-74,LT,2015,8.2
F,15-74,LU,2015,7.4
F,15-74,LV,2015,8.6
F,15-74,ME,2015,17.3
F,15-74,MK,2015,25.1
F,15-74,MT,2015,5.4
F,15-74,NL,2015,7.3
F,15-74,NO,2015,4.0
F,15-74,PL,2015,7.7
F,15-74,PT,2015,12.8
F,15-74,RO,2015,5.8
F,15-74,RS,2015,18.8
F,15-74,SE,2015,7.3
F,15-74,SI,2015,10.1
F,15-74,SK,2015,12.9
F,15-74,TR,2015,12.6
F,20-24,AT,2015,9.3
F,20-24,BE,2015,19.1
F,20-24,BG,2015,20.0
F,20-24,CH,2015,7.7
F,20-24,CY,2015,29.3
F,20-24,CZ,2015,12.6
F,20-24,DE,2015,5.9
F,20-24,DK,2015,10.2
F,20-24,EE,2015,11.5
F,20-24,GR,2015,53.4
F,20-24,ES,2015,43.9
F,20-24,FI,2015,15.9
F,20-24,FR,2015,21.1
F,20-24,HR,2015,37.2
F,20-24,HU,2015,13.8
F,20-24,IE,2015,14.7
F,20-24,IT,2015,39.5
F,20-24,LT,2015,16.0
F,20-24,LU,2015,14.9
F,20-24,LV,2015,13.5
F,20-24,ME,2015,30.6
F,20-24,MK,2015,43.2
F,20-24,MT,2015,6.4
F,20-24,NL,2015,8.4
F,20-24,NO,2015,6.0
F,20-24,PL,2015,20.0
F,20-24,PT,2015,31.0
F,20-24,RO,2015,20.6
F,20-24,RS,2015,46.3
F,20-24,SE,2015,14.5
F,20-24,SI,2015,14.8
F,20-24,SK,2015,24.4
F,20-24,TR,2015,24.0
F,20-29,AT,2015,7.1
F,20-29,BE,2015,13.3
F,20-29,BG,2015,12.8
F,20-29,CH,2015,6.6
F,20-29,CY,2015,23.5
F,20-29,CZ,2015,9.2
F,20-29,DE,2015,5.3
F,20-29,DK,2015,10.1
F,20-29,EE,2015,8.9
F,20-29,GR,2015,44.8
F,20-29,ES,2015,33.9
F,20-29,FI,2015,13.6
F,20-29,FR,2015,16.7
F,20-29,HR,2015,28.0
F,20-29,HU,2015,11.0
F,20-29,IE,2015,12.5
F,20-29,IS,2015,4.7
F,20-29,IT,2015,29.7
F,20-29,LT,2015,12.8
F,20-29,LU,2015,11.7
F,20-29,LV,2015,11.3
F,20-29,ME,2015,25.3
F,20-29,MK,2015,39.4
F,20-29,MT,2015,6.3
F,20-29,NL,2015,7.3
F,20-29,NO,2015,5.8
F,20-29,PL,2015,13.3
F,20-29,PT,2015,21.5
F,20-29,RO,2015,12.3
F,20-29,RS,2015,36.0
F,20-29,SE,2015,11.2
F,20-29,SI,2015,18.2
F,20-29,SK,2015,17.2
F,20-29,TR,2015,20.5
F,20-64,AT,2015,5.1
F,20-64,BE,2015,7.7
F,20-64,BG,2015,8.3
F,20-64,CH,2015,4.8
F,20-64,CY,2015,14.6
F,20-64,CZ,2015,6.0
F,20-64,DE,2015,4.2
F,20-64,DK,2015,6.3
F,20-64,EE,2015,6.2
F,20-64,GR,2015,28.9
F,20-64,ES,2015,23.2
F,20-64,FI,2015,8.2
F,20-64,FR,2015,9.6
F,20-64,HR,2015,16.4
F,20-64,HU,2015,6.9
F,20-64,IE,2015,8.6
F,20-64,IS,2015,3.7
F,20-64,IT,2015,12.4
F,20-64,LT,2015,8.3
F,20-64,LU,2015,7.1
F,20-64,LV,2015,8.7
F,20-64,ME,2015,17.0
F,20-64,MK,2015,25.0
F,20-64,MT,2015,4.8
F,20-64,NL,2015,6.7
F,20-64,NO,2015,3.6
F,20-64,PL,2015,7.7
F,20-64,PT,2015,12.6
F,20-64,RO,2015,5.7
F,20-64,RS,2015,18.8
F,20-64,SE,2015,6.4
F,20-64,SI,2015,10.1
F,20-64,SK,2015,12.7
F,20-64,TR,2015,12.5
F,25-29,AT,2015,5.3
F,25-29,BE,2015,10.2
F,25-29,BG,2015,9.9
F,25-29,CH,2015,5.7
F,25-29,CY,2015,20.3
F,25-29,CZ,2015,7.4
F,25-29,DE,2015,4.9
F,25-29,DK,2015,9.9
F,25-29,EE,2015,7.3
F,25-29,GR,2015,40.7
F,25-29,ES,2015,28.1
F,25-29,FI,2015,11.6
F,25-29,FR,2015,13.7
F,25-29,HR,2015,23.5
F,25-29,HU,2015,9.2
F,25-29,IE,2015,10.8
F,25-29,IT,2015,24.1
F,25-29,LT,2015,10.5
F,25-29,LU,2015,10.1
F,25-29,LV,2015,9.9
F,25-29,ME,2015,22.6
F,25-29,MK,2015,37.2
F,25-29,MT,2015,6.2
F,25-29,NL,2015,6.3
F,25-29,NO,2015,5.6
F,25-29,PL,2015,9.8
F,25-29,PT,2015,15.5
F,25-29,RO,2015,8.6
F,25-29,RS,2015,31.2
F,25-29,SE,2015,8.4
F,25-29,SI,2015,20.0
F,25-29,SK,2015,13.6
F,25-29,TR,2015,17.4
F,25-49,AT,2015,5.2
F,25-49,BE,2015,7.5
F,25-49,BG,2015,7.9
F,25-49,CH,2015,4.8
F,25-49,CY,2015,13.2
F,25-49,CZ,2015,6.0
F,25-49,DE,2015,4.1
F,25-49,DK,2015,6.1
F,25-49,EE,2015,5.8
F,25-49,GR,2015,29.8
F,25-49,ES,2015,22.8
F,25-49,FI,2015,7.7
F,25-49,FR,2015,9.5
F,25-49,HR,2015,16.4
F,25-49,HU,2015,6.8
F,25-49,IE,2015,8.3
F,25-49,IS,2015,3.9
F,25-49,IT,2015,13.3
F,25-49,LT,2015,7.6
F,25-49,LU,2015,6.8
F,25-49,LV,2015,8.6
F,25-49,ME,2015,17.7
F,25-49,MK,2015,24.9
F,25-49,MT,2015,4.6
F,25-49,NL,2015,6.2
F,25-49,NO,2015,4.1
F,25-49,PL,2015,7.3
F,25-49,PT,2015,11.7
F,25-49,RO,2015,5.2
F,25-49,RS,2015,19.4
F,25-49,SE,2015,6.0
F,25-49,SI,2015,10.5
F,25-49,SK,2015,12.3
F,25-49,TR,2015,11.8
F,25-54,AT,2015,4.9
F,25-54,BE,2015,7.1
F,25-54,BG,2015,7.8
F,25-54,CH,2015,4.6
F,25-54,CY,2015,13.2
